direction,AUC,AUPR,LogAUC,recall_1,recall_5,recall_10,recall_25,recall_50,EF_1,EF_5,EF_10,EF_25EF_50
pathway19_45_3,1.0,1.0,0.08129028239720824,1.0,1.0,1.0,1.0,1.0,0.018691588785046728,0.09532710280373832,0.19065420560747665,0.4785046728971963,0.9570093457943926
pathway19_60_8,1.0,1.0,0.0842835292296636,1.0,1.0,1.0,1.0,1.0,0.01937984496124031,0.09883720930232558,0.19767441860465115,0.49612403100775193,0.9922480620155039
pathway19_15_0,1.0,1.0,0.08663406590140721,1.0,1.0,1.0,1.0,1.0,0.0199203187250996,0.10159362549800798,0.20318725099601595,0.5099601593625498,1.0
pathway19_90_3,1.0,1.0,0.08663406590140721,1.0,1.0,1.0,1.0,1.0,0.0199203187250996,0.10159362549800798,0.20318725099601595,0.5099601593625498,1.0
pathway49_30_7,1.0,1.0,0.08315545140058588,1.0,1.0,1.0,1.0,1.0,0.019120458891013385,0.09751434034416825,0.1950286806883365,0.4894837476099426,0.9789674952198852
pathway49_105_3,1.0,1.0,0.08629027992560798,1.0,1.0,1.0,1.0,1.0,0.01984126984126984,0.10119047619047619,0.20238095238095238,0.5079365079365079,1.0
pathway94_45_7,1.0,1.0,0.08577968655326709,1.0,1.0,1.0,1.0,1.0,0.01972386587771203,0.10059171597633136,0.20118343195266272,0.504930966469428,1.0
halve_2_5,1.0,1.0,0.08395811019788883,1.0,1.0,1.0,1.0,1.0,0.019305019305019305,0.09845559845559845,0.1969111969111969,0.4942084942084942,0.9884169884169884
pathway19_75_1,1.0,1.0,0.08544263473969826,1.0,1.0,1.0,1.0,1.0,0.019646365422396856,0.10019646365422397,0.20039292730844793,0.5029469548133595,1.0
pathway19_45_6,1.0,1.0,0.0803887265850396,1.0,1.0,1.0,1.0,1.0,0.018484288354898338,0.09426987060998152,0.18853974121996303,0.4731977818853974,0.9463955637707948
pathway49_60_0,1.0,1.0,0.08803704672572149,1.0,1.0,1.0,1.0,1.0,0.020242914979757085,0.10323886639676114,0.20647773279352227,0.5182186234817814,1.0
halve_2_3,1.0,1.0,0.0817486862453128,1.0,1.0,1.0,1.0,1.0,0.018796992481203006,0.09586466165413533,0.19172932330827067,0.48120300751879697,0.9624060150375939
pathway94_30_1,1.0,1.0,0.0842835292296636,1.0,1.0,1.0,1.0,1.0,0.01937984496124031,0.09883720930232558,0.19767441860465115,0.49612403100775193,0.9922480620155039
